filename,label
audio_141,3.011973
audio_114,2.3457577
audio_17,2.9790208
audio_76,3.762682
audio_156,3.2683704
audio_13_1,3.1956668
audio_70,2.8092248
audio_56,2.4849794
audio_19,2.8151202
audio_158_1,3.4217582
audio_86_1,2.6015356
audio_16,2.7968698
audio_163,2.7343807
audio_61,3.048164
audio_116,2.642136
audio_115,2.7618
audio_147,2.565729
audio_10,2.7692852
audio_74,2.3872523
audio_99_1,3.6228151
audio_113,3.4744248
audio_94,2.8154397
audio_140,2.902783
audio_46,2.7242138
audio_86,3.009005
audio_68,3.1180418
audio_148,3.1984527
audio_20_1,3.6991339
audio_31,2.3120325
audio_69,3.2520666
audio_83,2.5701628
audio_120,3.0850089
audio_76_1,3.9908626
audio_25,4.449708
audio_133,2.7160614
audio_96,3.0661228
audio_57,2.7547414
audio_20,3.974625
audio_123,3.2427983
audio_77,2.8509068
audio_6,3.503486
audio_66,3.4533756
audio_138,2.8106365
audio_98,3.324142
audio_30_1,3.1448565
audio_125,3.789481
audio_132_1,3.2989264
audio_13,3.474648
audio_36,2.9339628
audio_164,2.4600642
audio_43,2.884847
audio_67,3.1570778
audio_159,3.0079918
audio_79,2.7254822
audio_119,3.0962272
audio_126,3.2101426
audio_30,2.8011935
audio_137,2.5341666
audio_162,3.0886059
audio_52,2.9410067
audio_56_1,2.5618575
audio_39,4.5554543
audio_32,3.2319732
audio_97,3.7885566
audio_160,4.1882935
audio_42,3.0524707
audio_135_1,2.465402
audio_102,3.2377272
audio_27,2.573594
audio_52_1,2.755813
audio_79_1,2.7549803
audio_17_1,2.6635458
audio_3,2.8600135
audio_47,3.050084
audio_105,2.6176276
audio_146,2.7576287
audio_139,3.4239743
audio_37,3.4655273
audio_10_1,3.1697347
audio_23,3.7348104
audio_129,3.4724336
audio_91,3.6740189
audio_34,2.9770498
audio_12,2.9951575
audio_127,3.1823006
audio_157,2.536747
audio_7,2.750771
audio_28,3.0629818
audio_110,3.8550463
audio_5,2.7363229
audio_33,3.5986462
audio_140_1,3.3488982
audio_143,3.4154341
audio_99,2.5184805
audio_142,3.850284
audio_11,4.6030807
audio_63,3.427176
audio_101,3.9266958
audio_144,2.6637092
audio_1,3.0101318
audio_16_1,3.170218
audio_151,2.9921637
audio_71,3.2517846
audio_112,3.2122219
audio_65,2.8187838
audio_45,3.1890864
audio_128,2.880895
audio_29,2.2449024
audio_41,2.554075
audio_118,2.7713933
audio_153,2.6567452
audio_154,2.5951338
audio_26,3.2025383
audio_24,2.6171677
audio_149,3.4052074
audio_145,2.4236767
audio_82,3.1278772
audio_109,3.2555928
audio_80,3.489441
audio_85,2.7486706
audio_40,2.7588031
audio_62,3.1755111
audio_121,2.7612736
audio_124,3.21518
audio_87,3.3075764
audio_78,2.5114446
audio_57_1,3.0189424
audio_116_1,3.0573478
audio_48,3.206819
audio_95,3.3191595
audio_106_1,2.6617925
audio_44,2.554713
audio_136,2.3274312
audio_4,3.0031307
audio_106,2.4467487
audio_54,3.402925
audio_134,3.1540856
audio_67_1,3.1629605
audio_155,3.2271938
audio_153_1,2.8764632
audio_50,3.3870375
audio_81,2.264425
audio_35,2.3345888
audio_8,2.8985326
audio_111,2.3555295
audio_92,3.1292114
audio_84,3.2933593
audio_146_1,2.7375598
audio_25_1,3.7481163
audio_90,2.2616382
audio_9,3.3019354
audio_14,3.215543
audio_60,2.625788
audio_96_1,2.8930304
audio_132,3.2005339
audio_18,3.4236548
audio_73,3.5069103
audio_102_1,3.4497154
audio_135,3.0736506
audio_136_1,2.2233405
audio_133_1,3.0572999
audio_64,3.2101595
audio_55,3.6765146
audio_108,3.9768124
audio_51,3.0223076
audio_161_1,2.790364
audio_59,3.6199412
audio_49,2.953204
audio_89,2.9289162
audio_22,3.5080056
audio_58,2.5172648
audio_161,2.5697675
audio_156_1,2.7016208
audio_130,2.8012283
audio_38,4.192441
audio_158,3.07987
audio_19_1,2.591869
audio_2,2.8398151
audio_53,2.8956034
audio_150,2.8531651
audio_131,3.1274652
audio_152,2.7919416
audio_104,2.3364997
audio_100,2.6798825
audio_117,3.001087
audio_88,2.7406447
audio_75,3.0815809
audio_122,3.0147436
audio_61_1,3.1841407
audio_21,2.6583388
audio_32_1,3.177521
audio_72,2.922165
audio_107,3.2375505
audio_15,2.7868602
audio_93,2.9920905
audio_31_1,2.2535648
audio_103,2.3904998
